step,disp,axial_strain,vol_strain,void_ratio,packing,sigma_yy,p_mean,escaped
201,0.04422,0.11974064531186071,0.11646366608320645,0.2985568774580447,0.7700856368783193,2225925.25,2246314.125,0
202,0.04444,0.12033636991540231,0.1167503121068401,0.2981355861640745,0.770335557131555,2324184.25,2309173.5,0
203,0.04466,0.12093209451894389,0.11592136279525064,0.2993539150412319,0.76961325811549,2301990.75,2391839.0,0
204,0.04488,0.1215278191224855,0.11710038824719017,0.2976210699384992,0.770641000802642,2334245.0,2389907.625,0
205,0.0451,0.12212354372602709,0.11665185823611014,0.2982802864395934,0.7702496991172855,2234641.25,2278158.5,0
206,0.04532,0.12271926832956868,0.11923312504690671,0.29448652987176255,0.7725070728229705,2486488.75,2454872.125,0
207,0.045540000000000004,0.1233149929331103,0.11821081878919495,0.2959890406014967,0.771611463269688,2371547.5,2467829.75,0
208,0.04576,0.12391071753665188,0.12076432483644145,0.29223608476709084,0.7738524034331059,2450227.5,2456218.625,0
209,0.04598,0.12450644214019348,0.12093912080693434,0.2919791824746528,0.7740062793307576,2420908.5,2469524.75,0
210,0.046200000000000005,0.1251021667437351,0.12172110278019205,0.29082988274532484,0.7746954214239365,2465969.25,2487828.75,0
211,0.04642,0.12569789134727666,0.12310849535854554,0.28879079492833776,0.7759211222916937,2416325.25,2436507.0,0
212,0.04664,0.12629361595081826,0.12181310065939875,0.2906946710124628,0.7747765776514499,2604660.75,2548085.625,0
213,0.04686,0.12688934055435985,0.1237716870877748,0.28781608438389844,0.7765083944252863,2586185.75,2574482.375,0
214,0.047080000000000004,0.12748506515790145,0.12416469557175469,0.28723846934965414,0.7768568325224351,2708666.75,2670255.875,0
215,0.0473,0.12808078976144305,0.12450573332397206,0.28673723708379867,0.7771594473059266,2538534.75,2555486.875,0
216,0.04752,0.12867651436498465,0.12573866630513114,0.2849251626498799,0.7782554416925859,2617938.5,2613929.25,0
217,0.047740000000000005,0.12927223896852624,0.12584470596590105,0.2847693133367388,0.7783498481940309,2629744.5,2735750.5,0
218,0.04796,0.12986796357206784,0.1277576162542499,0.28195785814747265,0.7800568432452816,2660134.0,2687425.25,0
219,0.04818,0.13046368817560944,0.12615846715393264,0.2843081701636091,0.7786293221763194,2564423.0,2623785.125,0
220,0.0484,0.131059412779151,0.12626482961427862,0.28415184642333535,0.7787241071102572,2668815.25,2638328.5,0
221,0.048620000000000003,0.13165513738269263,0.12825908539582087,0.28122083559659095,0.7805055711058253,2627482.25,2636190.125,0
222,0.04884,0.1322508619862342,0.12789399907517915,0.28175741268384386,0.7801788311144788,2792396.5,2776035.75,0
223,0.04906,0.1328465865897758,0.12952300713629158,0.27936321615791876,0.7816388554636735,2816318.0,2786411.875,0
224,0.049280000000000004,0.13344231119331743,0.1288223706562273,0.2803929602497686,0.78101022970708,2867118.5,2898113.875,0
225,0.0495,0.134038035796859,0.12865177108022458,0.28064369498947955,0.7808573172323431,2944936.5,2915707.125,0
226,0.04972,0.1346337604004006,0.12961145422016054,0.27923322312351806,0.7817182839875663,3123934.0,3063836.75,0
227,0.049940000000000005,0.1352294850039422,0.1300328690668429,0.278613858501583,0.7820969508119577,3188693.0,3214672.875,0
228,0.05016,0.1358252096074838,0.13234443683175437,0.27521648580324776,0.7841805772845767,3034629.0,3050123.25,0
229,0.05038,0.13642093421102539,0.13085181159157133,0.2774102368655438,0.7828338705455802,3039906.25,3018103.75,0
230,0.0506,0.13701665881456698,0.131806814137653,0.2760066441930085,0.7836949788239035,3036052.0,2953266.0,0
231,0.050820000000000004,0.13761238341810858,0.1325450567683404,0.2749216293401817,0.7843619380098966,2905727.25,2898088.125,0
232,0.05104,0.13820810802165018,0.1340581797816099,0.2726977521549497,0.785732510571961,2919404.75,2942123.0,0
233,0.05126,0.13880383262519178,0.13296695581438692,0.2743015530775475,0.7847436092225692,3140161.5,3119516.75,0
234,0.051480000000000005,0.13939955722873337,0.1346466434089572,0.27183287149176494,0.7862668298760628,2947083.25,3022383.125,0
235,0.0517,0.13999528183227497,0.13491569685569005,0.27143743647653484,0.7865113699744798,3196101.5,3149392.875,0
236,0.05192,0.14059100643581654,0.1360311307911252,0.2697980535189735,0.7875268017845153,3100084.75,3150860.875,0
237,0.05214,0.14118673103935814,0.13587715539329498,0.2700243552613426,0.787386474800495,2988029.5,2971293.125,0
